date,origin_district,origin_municplty,item,Cesium_134_Plus_Cesium_137C
2015-03-07,Kempoku,Motomiya city,Wild boar,1500
2015-03-14,Kenchu,Sukagawa city,Wild boar,35
2015-03-18,Kempoku,Motomiya city,Wild boar,450
2015-03-23,Kenchu,Tamura city,Wild boar,75
2015-04-01,Kenchu,Sukagawa city,Wild boar,130
2015-04-06,Kempoku,Date county Kori town,Wild boar,240
2015-04-06,Kempoku,Date county Kori town,Wild boar,830
2015-04-06,Kempoku,Date county Kori town,Wild boar,460
2015-04-07,Kempoku,Date county Kori town,Wild boar,340
2015-04-09,Kenchu,Koriyama city,Wild boar,17
2015-04-23,Kempoku,Date county Kori town,Wild boar,340
2015-04-23,Kempoku,Date county Kori town,Black bear,480
2015-04-26,Kenchu,Koriyama city,Wild boar,50
2015-05-08,Kempoku,Date county Kunimi town,Wild boar,140
2015-05-08,Aizu,Yama county Nishiaizu town,Black bear,32
2015-05-10,Kempoku,Date county Kori town,Wild boar,820
2015-05-19,Kempoku,Date county Kori town,Wild boar,100
2015-05-21,Kempoku,Date county Kori town,Wild boar,80
2015-05-27,Kempoku,Date county Kunimi town,Wild boar,480
2015-05-29,Kempoku,Date county Kori town,Wild boar,160
2015-06-01,Kempoku,Date county Kori town,Wild boar,97
2015-06-02,Kempoku,Date county Kori town,Wild boar,1400
2015-06-05,Aizu,Yama county Inawashiro town,Wild boar,46
2015-06-05,Kempoku,Date county Kunimi town,Wild boar,490
2015-06-08,Kempoku,Date county Kori town,Wild boar,540
2015-06-10,Kempoku,Date county Kori town,Wild boar,160
2015-06-10,Kempoku,Date county Kori town,Wild boar,200
2015-06-15,Kempoku,Date county Kori town,Wild boar,270
2015-06-17,Aizu,Yama county Bandai town,Wild boar,57
