Sampling starting date,Sampling starting time,Sampling ending date,Sampling ending time,Measurement date,Measurement time,Correction base date,Prefecture,City,Sampling coordinate North latitude,Sampling coordinate East longitude,Sampling coordinate North latitude (Decimal),Sampling coordinate East longitude (Decimal),Distance from TEPCO Fukushima Dai-ichi NPP (km),Air dose rate at a height of 1 m above the ground (µSv/h),131I Radioactivity concentration (Bq/m3),131I Detection limit (Bq/m3),134Cs Radioactivity concentration (Bq/m3),134Cs Detection limit (Bq/m3),137Cs Radioactivity concentration (Bq/m3),137Cs Detection limit (Bq/m3),132I Radioactivity concentration (Bq/m3),132I Detection limit (Bq/m3),132Te Radioactivity concentration (Bq/m3),132Te Detection limit (Bq/m3)
2013-11-06,14:40,2013-11-07,14:40,,,2013-11-06,Fukushima prefecture,Futaba county Naraha town,,,,,Around 16,3.0E-01,ND,,ND,,ND,,ND,,ND,
2013-11-20,13:10,2013-11-21,13:10,,,2013-11-20,Fukushima prefecture,Minamisoma city,,,,,Around 16,1.0E-01,ND,,ND,,ND,,ND,,ND,
2013-11-20,13:38,2013-11-21,13:38,,,2013-11-20,Fukushima prefecture,Futaba county Namie town,,,,,Around 9,2.0E-01,ND,,ND,,2.9E-04,,ND,,ND,
2013-11-20,14:04,2013-11-21,14:04,,,2013-11-20,Fukushima prefecture,Futaba county Okuma town,,,,,Around 5,1.6E+00,ND,,ND,,5.1E-04,,ND,,ND,
2013-11-20,14:26,2013-11-21,14:26,,,2013-11-20,Fukushima prefecture,Futaba county Tomioka town,,,,,Around 9,2.4E+00,ND,,ND,,ND,,ND,,ND,
2013-11-20,14:45,2013-11-21,14:45,,,2013-11-20,Fukushima prefecture,Futaba county Naraha town,,,,,Around 16,2.0E-01,ND,,ND,,ND,,ND,,ND,
2013-12-04,13:07,2013-12-05,13:07,,,2013-12-04,Fukushima prefecture,Minamisoma city,,,,,Around 16,1.0E-01,ND,,ND,,1.9E-04,,ND,,ND,
2013-12-04,13:33,2013-12-05,13:33,,,2013-12-04,Fukushima prefecture,Futaba county Namie town,,,,,Around 9,2.0E-01,ND,,ND,,ND,,ND,,ND,
2013-12-04,09:15,2013-12-04,15:15,,,2013-12-04,Fukushima prefecture,Futaba county Futaba town,,,,,Around 4,1.7E+00,ND,,ND,,ND,,ND,,ND,
2013-12-04,14:04,2013-12-05,14:04,,,2013-12-04,Fukushima prefecture,Futaba county Okuma town,,,,,Around 5,1.7E+00,ND,,ND,,4.7E-04,,ND,,ND,
2013-12-04,14:24,2013-12-05,14:24,,,2013-12-04,Fukushima prefecture,Futaba county Tomioka town,,,,,Around 9,2.1E+00,ND,,1.2E-03,,3.0E-03,,ND,,ND,
